Data List,Depth,MSE,RMSE,MAE,MDAE,EVS,R2
All Districts,,0.0006375893042399427,0.02521429697757416,0.01425513014091092,0.007930511369762753,0.7870468837581787,0.7869632972875139
All Districts,8.0,0.000590225415712712,0.024262616937965456,0.01405541018255868,0.007991878391233935,0.8028611189470944,0.8028134641246426
All Districts,9.0,0.0005783269439703408,0.024019143405531695,0.013850214158088004,0.007837296014538822,0.8066120522193775,0.8065519080513931
All Districts,10.0,0.0005769854656170847,0.023976154378646163,0.013708232770527786,0.0077304490947396306,0.8074833999458548,0.8074192030699302
All Districts,11.0,0.0005758650488457844,0.023959556319395642,0.013589041931822332,0.007626843006049388,0.8077349480844327,0.8076687031290095
All Districts,12.0,0.0005747864718831111,0.023935678716412778,0.013520362670226185,0.007568211988095323,0.8081468198388161,0.8080902956604749
All Districts,13.0,0.0005737640188041936,0.02390898657881502,0.013472320086720644,0.007540256593698491,0.8084319365063602,0.8083835647710973
