Data List,Depth,MSE,RMSE,MAE,MDAE,EVS,R2
Cluster 0,,0.0050207258811846124,0.07075962156799244,0.047174540932057696,0.03078705366825,0.7046520153460459,0.7038105744277792
Cluster 0,7.0,0.004345121007007535,0.06576981180307097,0.044776670014919945,0.030130291658793266,0.7453187514871003,0.7446780908008098
Cluster 0,8.0,0.004284409766737451,0.06533494802136629,0.04416750610263726,0.029499630721599904,0.7489487449355792,0.7483371700530589
Cluster 0,9.0,0.004279285246301383,0.06530893041618926,0.04390404786803699,0.029165684990715056,0.7485888185247075,0.7480593656352742
Cluster 0,10.0,0.004283764150679092,0.06534258334275873,0.04375153151471753,0.028936831286695868,0.7486061289637285,0.7480590748028538
Cluster 0,11.0,0.00436329342295078,0.06594988170170477,0.04404634241245243,0.029040295211114224,0.7436857819175661,0.743067538244341
