Data List,Models,MSE,RMSE,MAE,MDAE,EVS,R2
Cluster 0,None,0.004811177692355599,0.06925309320640975,0.04634429776376726,0.03033632062612382,0.7172910239201203,0.7166169185472581
Cluster 0,MLR,0.00441480751331251,0.06632067120767263,0.046235204009431236,0.031004959929220526,0.7408936519346055,0.7402089258129351
Cluster 0,DTR(5),0.004314702549939437,0.06556655963448223,0.044138722437859185,0.029014449278377014,0.7466545917935341,0.7459244769590935
Cluster 0,PR(3),0.004414107047751453,0.06630034088354801,0.04624482899823323,0.03087912868443211,0.741073702472118,0.7404827772784845
Cluster 0,SVR(R),0.004820374689991459,0.06935714832205635,0.052467288832682105,0.041856416377042335,0.7338994846795286,0.7161137562627045
