Data List,Models,MSE,RMSE,MAE,MDAE,EVS,R2
Chennai,None,0.003438888261009968,0.05808835253925976,0.034357685492105175,0.018270910553091144,0.8510051351900267,0.8496847939505101
Chennai,MLR,0.004093389767837323,0.0634863584123986,0.04421303224305587,0.03223203975081364,0.8245790298395953,0.8229721674327773
Chennai,DTR(5),0.003341738865531804,0.0572542658212588,0.033772257695417814,0.017651891167337425,0.8568213091097483,0.8554988174565429
Chennai,PR(2),0.004104242981512434,0.06355898232602702,0.044203711504267135,0.032249022866109534,0.8244491030226245,0.8223676727899248
Chennai,SVR(R),0.004643545937141745,0.06761190309084361,0.05037914923642825,0.04107460315869402,0.8027173958520454,0.7973394013161088
