Models,MSE,RMSE,MAE,MDAE,EVS,R2
None,0.004668346455751957,0.06783605395250399,0.05118654809431516,0.04155237456223929,0.8296417719276813,0.7964468450424633
MLR,0.004474788033947658,0.06655403085438741,0.0484908849959865,0.03739231649174293,0.8060250346784096,0.8030190408701037
SVRR,0.004056261801369997,0.06330781389028828,0.04632364034105867,0.036179113171621924,0.822991240384924,0.8214568189144035
DTR,0.0034481272988138136,0.05820728325975136,0.03898782556838511,0.024458620119128152,0.8577367437926863,0.8519020532224034
