Data,Max Depth,MSE,RMSE,MAE,MDAE,EVS,R2
Dharmapuri,5,0.006121690716065156,0.07780596556032009,0.05093666881031766,0.030968622847527064,0.7704941998307363,0.7683368397629923
Dharmapuri,6,0.006369504953406942,0.07934070721487024,0.05125000924260795,0.02993578851696575,0.7613271021054142,0.7591129163282787
Dharmapuri,7,0.006800512266344508,0.08198857095979456,0.052710264457713214,0.0298148769323104,0.7451659401733663,0.7428807116695368
Dindigul,2,0.008237198063323537,0.09024398658111472,0.06381389160301212,0.043644963641871024,0.6373415120245504,0.6333772159141298
Dindigul,3,0.007144643601795867,0.08399911287996975,0.05783402462575029,0.040177273532558226,0.6848389711043035,0.6813944186882627
Dindigul,4,0.007551639118222379,0.08635770202839069,0.058609268543371416,0.03988671132859438,0.6671731609697352,0.6635279324074554
Dindigul,5,0.007949460621719858,0.08854669173181531,0.05959830166709013,0.040394775253260955,0.6483938251020799,0.6445089034517316
Dindigul,6,0.008475604621462551,0.09136554751664015,0.060834917259968486,0.04014767092770856,0.6246525197091388,0.6204332314006086
Dindigul,7,0.009219385656953646,0.09520856366932845,0.06266746825854212,0.04045541492210862,0.5927150360413205,0.5881071039410593
Erode,2,0.006160292626464629,0.07802980914778886,0.056462494410437686,0.036082816301059445,0.7669415523588219,0.7648872872176662
Erode,3,0.005297118311093938,0.07240894300014418,0.04944606229841929,0.03334774428219809,0.7990456333032314,0.7971700245861634
Erode,4,0.0053329144857240385,0.07265000785683456,0.0480473446254803,0.030664055347166663,0.7974839265225409,0.795458054524303
Erode,5,0.005427930259918335,0.073111121324217,0.04751801933464342,0.029890609975703756,0.7943132456872881,0.7921574765858065
Erode,6,0.005918459979567563,0.07616618552288722,0.04848323526511322,0.02957635108226149,0.7755657067951732,0.7733555887108012
Erode,7,0.006419024195213127,0.07933841757275288,0.050358266502969214,0.030590175182575403,0.7560774646457759,0.753937582889669
Kancheepuram,2,0.006406238563900054,0.07944917207808201,0.05305452686769017,0.031637656912458116,0.7664414492382495,0.7640742456825705
Kancheepuram,3,0.005163460555516626,0.07128050467608381,0.04349063960737212,0.02458841980305425,0.8102965499144412,0.8085807250409318
Kancheepuram,4,0.004415143935854563,0.06591271434388651,0.03900791298669575,0.021352863649946468,0.8363110705496752,0.8348245553304995
Kancheepuram,5,0.00424750671631956,0.06436223865068184,0.03725326471543172,0.019739129350627316,0.8417247779207068,0.8403776947614522
Kancheepuram,6,0.004545577508747867,0.0664743366764097,0.038172371650805476,0.019305139957148172,0.8302133073096307,0.828709568321509
Kancheepuram,7,0.0049084415806335555,0.06920709988994865,0.03964327480915456,0.019789216387598625,0.816506815080593,0.814912152045758
Karur,2,0.014441701174856401,0.11979498583079967,0.08737474303977107,0.058004021809945926,0.62084980446779,0.6176908221487815
Karur,3,0.013411981243870623,0.11542639778711376,0.08211072704524783,0.05569433984145461,0.6477145728762997,0.6450004412370411
Karur,4,0.01278283176467041,0.11265887442950215,0.07863464574559355,0.052354477655332625,0.6640930986942223,0.6614459728599792
Karur,5,0.013107299157154712,0.11405987391911468,0.0789340408111269,0.05203537145522092,0.6550046870899179,0.6521000924632819
Karur,6,0.01394544436807561,0.11761161951524814,0.08096670398425491,0.05305841162105849,0.6327240591427995,0.6295046278227587
Karur,7,0.015124325977135216,0.12244092215490805,0.08379226903000647,0.054201317545964516,0.6016491723941101,0.5981115552033455
Madurai,2,0.008312288031243047,0.09025854572895296,0.06215402525130549,0.04023144087571762,0.574249167545646,0.5703926954700378
Madurai,3,0.008055016408368077,0.08859394989265269,0.057885593820323,0.03807149688553896,0.5877504286599836,0.5842064663345979
Madurai,4,0.008483522482985787,0.09099544919620756,0.05783607541753587,0.037337285374069655,0.5650555655373815,0.5611073587798133
Madurai,5,0.009173456316431046,0.0945026187490894,0.058652251184845905,0.03642931637815288,0.5291111810472787,0.5249266944489339
Madurai,6,0.009766457784744845,0.09739243210908947,0.06002041886500484,0.03669981014454716,0.4997118625812439,0.4951624078470536
Madurai,7,0.010691286138791823,0.10202741268550294,0.06254924164020799,0.03833466582463627,0.45156960516712785,0.4466761563883657
Nagapattinam,2,0.005965111783856892,0.07678564404834837,0.053644244913769956,0.038666643802414524,0.7555029227446021,0.7534249562829122
Nagapattinam,3,0.004816130682197603,0.0689407467952708,0.04516733041841567,0.026738485591770722,0.8025551173755113,0.8008919411817225
Nagapattinam,4,0.004267031626342338,0.06483425242891812,0.04177359179330989,0.02602988104816626,0.8246509648136837,0.8232111648836881
Nagapattinam,5,0.004190826205610674,0.06425003289716445,0.039939545570549344,0.023823853640183783,0.8266387943385675,0.8251281357002065
Nagapattinam,6,0.004529783284189921,0.06667997166244882,0.0409121311036465,0.024073291165298168,0.8130473420020379,0.8112860034545563
Nagapattinam,7,0.004821877521872384,0.06879224392378926,0.04219616850269183,0.024569070477153062,0.8011549406438828,0.7992439432891888
Namakkal,2,0.011330974667568529,0.10616515886777403,0.07879414204478999,0.05380108600268543,0.6911547164106199,0.6884666220429019
Namakkal,3,0.008598764012112887,0.09241724424431517,0.06717589008252532,0.04899356956810028,0.7650422425223161,0.7631176410874911
Namakkal,4,0.008471023797788487,0.0917614235712123,0.06563867021751207,0.04745733911915193,0.7683346182376325,0.76660131389695
Namakkal,5,0.008886844765448702,0.09397422049466808,0.06612977813371136,0.0464624769006247,0.7569921827656987,0.7551344982357479
Namakkal,6,0.009540424504881356,0.0973452708820858,0.06771170585117887,0.047393001156225585,0.7384939607275369,0.7365053322129012
Namakkal,7,0.010431114326525194,0.10170191798605295,0.07023489652522939,0.04910377233616643,0.7138705043802506,0.7113657257899679
Perambalur,2,0.007023508787648422,0.08329434670014857,0.060681402277276,0.04358264781601531,0.702906674795562,0.6992315326381587
Perambalur,3,0.005405850996622107,0.07307857228448107,0.05083113845393197,0.03423681734277085,0.7702300897517521,0.7676999228704741
Perambalur,4,0.005247406912168554,0.07198674170339737,0.04816881426966089,0.03209952830999986,0.7761262810311179,0.7734643424714333
Perambalur,5,0.005314818385732045,0.0723973383697116,0.047834147414101705,0.03157025562957214,0.773505415824588,0.7709275130554132
Perambalur,6,0.005804682686229872,0.0756999151122104,0.04938096871331054,0.03191912062441437,0.7522986556844447,0.7494510891434516
Perambalur,7,0.006322821512591642,0.07902731995353816,0.05118477833252932,0.03245400135603781,0.7303227633732267,0.7271713218360252
Pudukkottai,2,0.0059011186122563284,0.07631468747890885,0.05458085915022792,0.03865918998355357,0.7583644903251716,0.7556171356527629
Pudukkottai,3,0.005108637258888705,0.07092168760140444,0.047838897122642596,0.029652506418566843,0.7917012829408285,0.7891770329177697
Pudukkottai,4,0.005015877181969648,0.07021770514015892,0.046196319473047615,0.02797814037536431,0.7949090970355115,0.7925485592161513
Pudukkottai,5,0.0053306876606291805,0.07235624906513388,0.04664595769513219,0.027881478855946832,0.7800048800060654,0.7776539023556321
Pudukkottai,6,0.005785934544896239,0.07533801520586568,0.048291055119440755,0.028647020931436826,0.7616965507999908,0.7590004814871412
Pudukkottai,7,0.006416378047575772,0.07936677279640746,0.050470462371611076,0.029361640538218173,0.7360756777548936,0.7329530964010309
Ramanathapuram,2,0.007580252236748372,0.08662791734136663,0.06045909588931303,0.03805290687455522,0.7056085622192405,0.7029912637159584
Ramanathapuram,3,0.006676789044471768,0.08125883453127583,0.054723295288271,0.035256888373850444,0.7407932012295201,0.737934998483997
Ramanathapuram,4,0.006487288353546064,0.08006919402888862,0.05217159196466225,0.031177740688891502,0.7484657726238398,0.7456813659023419
Ramanathapuram,5,0.0065976272628969854,0.08062494224052784,0.05119319273372987,0.031132549996018218,0.743718004570747,0.7412380190658451
Ramanathapuram,6,0.0069682410303356325,0.08290309402083096,0.05241248655742977,0.03156807917010159,0.7297528267681571,0.727094332872084
Ramanathapuram,7,0.007486819131035814,0.08597656225127683,0.05432278599623133,0.03264194386647082,0.7085606748492882,0.7057052316490637
Salem,2,0.010719540363334177,0.10310987889568927,0.0753087143767672,0.048607309082634824,0.6990589766445232,0.6967209703758641
Salem,3,0.008357566663235757,0.0910305714302847,0.06353353782295909,0.04463472523280073,0.7644076848028857,0.7627178689046613
Salem,4,0.008428375864811464,0.09134247557362961,0.061539424796442484,0.04149936214820485,0.7623414720204174,0.7609149275830082
Salem,5,0.00864998666992422,0.09248712586201063,0.06148865057917364,0.04061605798936523,0.7556210660223655,0.7539912758989482
Salem,6,0.009250679620666856,0.09550863557839737,0.06269744795013876,0.040741525058795476,0.7391848281366211,0.7374155250451182
Salem,7,0.010144518941698053,0.0999899848634362,0.06524382908441777,0.0413760213851947,0.7136293555720309,0.7118442831009684
Sivaganga,2,0.006562496677428554,0.08060838157063399,0.057849409921938474,0.04285753867329049,0.7342988413686296,0.7320338306693635
