Data,Kernel,MSE,RMSE,MAE,MDAE,EVS,R2
Chennai,poly,0.010276781103343203,0.10036922791874932,0.07269240578354745,0.05922899926119947,0.5758031277944388,0.5637053722913532
Chennai,rbf,0.0037856432196858277,0.06092765877624093,0.04241212906589882,0.031005854241728335,0.8394750449937056,0.837239817989593
Chennai,sigmoid,0.2637865187899364,0.5119074161103803,0.3532407477482116,0.24144176685113145,-10.407539901338396,-10.928855625322385
Coimbatore,linear,0.004375065798078198,0.0658770902143364,0.04855286088712503,0.03841846351673862,0.8310972264036969,0.8287954543220435
Coimbatore,poly,0.006702065281476476,0.08163863445627884,0.06621155636536753,0.06255890823534882,0.7747659091477785,0.7382914066164373
Coimbatore,rbf,0.004338250401693724,0.06554980926416104,0.04640555255927778,0.03254908758139342,0.842141673672611,0.8312730792925064
Coimbatore,sigmoid,0.005038027240932143,0.07066946998935048,0.05194786132660969,0.04175671324539424,0.8057999310516847,0.8039338280786034
Cuddalore,linear,0.00381810521039182,0.061485409298105795,0.046584326715849264,0.038587734347240665,0.8810784277046352,0.8790111817557148
Cuddalore,poly,0.009598619098709966,0.0971105186644108,0.06920398741273759,0.05396383390782182,0.7068085628497025,0.7013084088793954
Cuddalore,rbf,0.003036003479274276,0.05469856448056399,0.03895092845672739,0.028360546335179024,0.9069642377720316,0.9042971654903684
Cuddalore,sigmoid,0.2990558967981537,0.545213176001241,0.39828604463560063,0.3013389308804675,-8.306158893666817,-8.663127523961474
Dharmapuri,linear,0.005759232991334764,0.0755792588580123,0.054424116277605156,0.03792985051272682,0.7826763642864698,0.780080167619592
Dharmapuri,poly,0.009329846649066666,0.09619884101136891,0.07691477510426761,0.0710875836506931,0.6684247869860946,0.6470699250347275
Dharmapuri,rbf,0.005655839935487752,0.07488145052118014,0.05471624642317335,0.03996448878313846,0.7922439017529337,0.7842046033119403
Dharmapuri,sigmoid,0.2109932794468718,0.3735381390717304,0.27333090054070713,0.18457771954901833,-6.9858141896274075,-7.344863900851163
Dindigul,linear,0.0068597665266081674,0.08232172005121566,0.062185448586149474,0.04925773184776497,0.7096104889994952,0.6950869145730689
Dindigul,poly,0.00970806794373918,0.09811621103868054,0.07826882150288234,0.0717180195836929,0.5821710536418646,0.567871385181644
Dindigul,rbf,0.0073129362892491116,0.08504364634213347,0.06631493935503512,0.055137272708080734,0.6963443523891345,0.6749077057404197
Dindigul,sigmoid,0.032086968909938174,0.1502233547912298,0.11444925970824847,0.09222142489365981,-0.36537886299497624,-0.4223452537402603
Erode,linear,0.00488812167176918,0.06957915087759174,0.04973068424769484,0.03540647858393655,0.8165855305653068,0.8125180407883206
Erode,poly,0.007537629922296186,0.08658505350487103,0.06980533516479101,0.06249168538463994,0.7247843480573072,0.7106570511954569
Erode,rbf,0.0051837770160867,0.07167547189898628,0.05323769505755486,0.04216490760341368,0.8110228889693798,0.8013232301755293
Erode,sigmoid,0.009613142475035282,0.0829555093698782,0.05983314365838865,0.043090704584553725,0.6443523589738389,0.6343445752325075
Kancheepuram,linear,0.004825739064260096,0.06890803596728426,0.05078067813664691,0.04178008279903027,0.8236768783726959,0.8207839022778254
Kancheepuram,poly,0.01112020562312671,0.10409534017113507,0.07195654550187373,0.05492904109075582,0.6049118264231579,0.5986464582812455
Kancheepuram,rbf,0.004090363258768986,0.06346226694162929,0.045518141042540226,0.03506131855251174,0.8503206986699439,0.8473360620270357
Kancheepuram,sigmoid,0.29131439390075353,0.5374204285508172,0.37623276788262006,0.25939965061560577,-9.8826531033313,-10.349222967856988
Karur,linear,0.011632626478305721,0.10746815904591768,0.0797385247536985,0.058817542748396165,0.6958252819294628,0.6919172186691616
Karur,poly,0.016749847909581398,0.12879613543124438,0.0998449066467383,0.0854864589920893,0.5644534945806147,0.5600417856205272
Karur,rbf,0.011634590560569712,0.10746953566309098,0.08029858988233803,0.06091042900742425,0.6966745369734748,0.6921037375377402
Karur,sigmoid,0.1467247806354608,0.38206531402763894,0.2916133421127523,0.2267756931097846,-2.758162894224167,-2.9287294113967395
Madurai,linear,0.007709304376536342,0.08697640607184962,0.0643717447994319,0.05273466953373363,0.624980647188979,0.6012078995755923
Madurai,poly,0.010647573430015735,0.10260986623342508,0.08030721113168056,0.07432306860257286,0.4673696419920943,0.4467276168033452
Madurai,rbf,0.008055282164685396,0.08898627924487085,0.06717379325004692,0.056919117906879174,0.6125531128865614,0.5829574173194503
Madurai,sigmoid,0.024597170446222703,0.1397558675028543,0.10496000991615752,0.08454986196659624,-0.26585072004836546,-0.3046036743956507
Nagapattinam,linear,0.004711518569531777,0.06823076916850072,0.048730418396282164,0.03449186546987205,0.8059886089040884,0.8040199762627814
Nagapattinam,poly,0.010077848902080187,0.09937869434063515,0.06941766187094062,0.05620831414295452,0.5949159766917294,0.5903144866734923
Nagapattinam,rbf,0.004013101870606161,0.06294326064553457,0.04491973127905433,0.03352627801041723,0.8379448634807318,0.8332808791928927
Nagapattinam,sigmoid,0.32834704747021304,0.5715969361101149,0.42144546225585267,0.32347959479193433,-12.455046517261167,-13.087059305389818
Namakkal,linear,0.008498683179194236,0.09185624185261412,0.06880976991315663,0.05011910114666174,0.7696012221521099,0.7672181778115447
Namakkal,poly,0.013112044011429277,0.11399398089409107,0.0879070509464343,0.0771596067207267,0.6475175478686368,0.6427017912224541
Namakkal,rbf,0.008353594005804573,0.09105806901345154,0.06851410678650913,0.04995075975408418,0.7746495466401803,0.7714676182281489
Namakkal,sigmoid,0.20573954573021214,0.4526977711757727,0.34061569882076503,0.2509013046971889,-4.443861017480989,-4.7312377606837615
Perambalur,linear,0.004983589443350911,0.07016345709510695,0.05102640329631927,0.03727560293786775,0.788913611092011,0.7868243964241485
Perambalur,poly,0.007879045489923193,0.08827218594430425,0.0667553842203865,0.057095151769638884,0.6718089202931985,0.6636596629862634
Perambalur,rbf,0.0050754459818799225,0.07078615794053589,0.05138502575585857,0.03964633303580316,0.7919558347561374,0.7834374245189605
Perambalur,sigmoid,0.21042621999982067,0.4359586278905399,0.3300762592700973,0.2555220752175731,-8.118138156496322,-8.336014893686952
Pudukkottai,linear,0.0046934590039999025,0.06809561139199082,0.04834268349855024,0.03510290300982515,0.8098975208513524,0.8074459936378817
Pudukkottai,poly,0.008504601696138958,0.09161392850558599,0.06812331796386753,0.05686848822071177,0.6677367226247369,0.6538421424296011
Pudukkottai,rbf,0.004582882536884675,0.06734413163189143,0.049390558661030246,0.0376833530708396,0.8200206632073072,0.8116074314390663
Pudukkottai,sigmoid,0.12436798306264016,0.35182253946739217,0.26747840012043,0.20716361654406032,-4.065056046697715,-4.208744325008377
Ramanathapuram,linear,0.006209467586175759,0.07837154675369983,0.055721620027058674,0.04078083011602195,0.759211646386003,0.7564788937677693
Ramanathapuram,poly,0.009800186736832493,0.09840447792458754,0.07540144563655753,0.0650227420712456,0.633250974142614,0.6202843549784192
Ramanathapuram,rbf,0.006293337647202822,0.0789065404468804,0.05802332501071789,0.04505028355649841,0.7623060691617424,0.7537406844691341
Ramanathapuram,sigmoid,0.032432250989677475,0.15604901595301512,0.11396510604106444,0.0824455634507332,-0.22180320276256515,-0.25915316666314564
Salem,linear,0.00791365524309959,0.08861744204861642,0.06504817976599253,0.045735184394553256,0.777439565975272,0.7759370117016166
Salem,poly,0.012005838808698037,0.1090944466140033,0.08328039760211739,0.07167222813916066,0.6661156009541362,0.6611414881624637
Salem,rbf,0.007636323867870412,0.08703613960676775,0.06390572556009799,0.04607801733547326,0.7871498776451411,0.7839956443089353
Salem,sigmoid,0.29076051811468057,0.5307595633646581,0.3946882794306072,0.2833226603091445,-6.91937197296078,-7.373390264618863
Sivaganga,linear,0.0053261773055293315,0.07255330891867208,0.05196575176695505,0.036976558680266086,0.7873272921827676,0.7832463433340295
Sivaganga,poly,0.008738924992938131,0.09299623751670821,0.07195352070218125,0.06336826986863861,0.6609743880453318,0.6471401051183578
Sivaganga,rbf,0.005522604594640047,0.07395419334491384,0.055441572270866143,0.04370890119210599,0.7860275909954686,0.7750789336536278
