Data,Model,Degree,MSE,RMSE,MAE,MDAE,EVS,R2
Madurai,Poly,2,0.007079467,0.083157002,0.054628558,0.035084505,0.638789392,0.6354299
Madurai,Poly,3,0.008309921,0.090236854,0.059445134,0.038417189,0.573253183,0.569135454
Madurai,Poly,4,0.052893922,0.221021702,0.114681343,0.06193535,-1.786794622,-1.818964651
Madurai,Poly,5,1935.677534,35.74764643,10.3995643,1.710712923,-106248.0066,-107060.26
Nagapattinam,Poly,2,0.003226828,0.056285995,0.037712386,0.024570868,0.866017959,0.864946688
Nagapattinam,Poly,3,0.00375249,0.060753624,0.041366762,0.027929437,0.843876157,0.84269502
Nagapattinam,Poly,4,0.034256605,0.174331104,0.104183849,0.064082675,-0.465337231,-0.474464955
Nagapattinam,Poly,5,631.2870124,18.39007508,5.751149048,1.341683719,-26383.55677,-26638.72906
Namakkal,Poly,2,0.007955028,0.08882663,0.064472147,0.0447015,0.782909873,0.780840142
Namakkal,Poly,3,0.00941088,0.096532499,0.069196692,0.048738884,0.743227895,0.741068307
Namakkal,Poly,4,0.107010337,0.294790348,0.148436964,0.081659632,-2.06318121,-2.08950018
Namakkal,Poly,5,2324.48665,42.28975212,12.47516869,2.220335397,-66730.82182,-67213.73131
Perambalur,Poly,2,0.004540875,0.066949812,0.045382275,0.028449153,0.805948729,0.804585712
Perambalur,Poly,3,0.00529628,0.072317907,0.050515359,0.034287433,0.773854269,0.772296096
Perambalur,Poly,4,0.027162341,0.159672466,0.093245972,0.052820829,-0.140174859,-0.151409811
Perambalur,Poly,5,795.4705703,24.95267833,8.340976574,1.54765288,-34980.61891,-35211.53389
Pudukkottai,Poly,2,0.004048643,0.063173212,0.04325882,0.028490059,0.834185605,0.832677264
Pudukkottai,Poly,3,0.004733299,0.068458209,0.046983299,0.030852526,0.805200337,0.803223374
Pudukkottai,Poly,4,0.03377835,0.178279627,0.095148869,0.051100576,-0.403796564,-0.419321924
Pudukkottai,Poly,5,427.3210013,17.5203434,5.767526154,1.000583667,-17909.46455,-18105.55038
Ramanathapuram,Poly,2,0.006527663,0.078311349,0.054517988,0.03737381,0.749670408,0.747513007
Ramanathapuram,Poly,3,0.006317445,0.078984817,0.054494195,0.036466331,0.753088737,0.750722262
Ramanathapuram,Poly,4,0.079944162,0.260881322,0.124650482,0.06046389,-2.228072361,-2.261402927
Ramanathapuram,Poly,5,5414.371485,61.54061065,18.22482499,2.665526222,-212783.4806,-214360.6364
Salem,Poly,2,0.007816273,0.087493854,0.062418415,0.04294712,0.779395445,0.777277263
Salem,Poly,3,0.008346182,0.090669479,0.063989954,0.043809372,0.764104005,0.761783064
Salem,Poly,4,0.130389349,0.321638161,0.171990765,0.098139556,-2.769801286,-2.812539414
Salem,Poly,5,937.0451183,27.39768638,8.730043332,1.673192484,-26445.94948,-26671.04651
Sivaganga,Poly,2,0.005665634,0.074690837,0.054670886,0.040926858,0.769262133,0.76763984
Sivaganga,Poly,3,0.005791996,0.075705212,0.053501719,0.036803022,0.763932476,0.761902372
Sivaganga,Poly,4,0.043421753,0.196428983,0.10929732,0.062940983,-0.821103231,-0.834988593
Sivaganga,Poly,5,1266.640373,30.85570048,9.256062687,1.543212818,-54936.08346,-55554.39315
Thanjavur,Poly,2,0.004336985,0.065382962,0.043621812,0.027371848,0.818958031,0.817217002
Thanjavur,Poly,3,0.004928482,0.069724294,0.047236709,0.029917096,0.793512619,0.791620781
Thanjavur,Poly,4,0.025731093,0.153319349,0.086445076,0.050503439,-0.067434982,-0.078721113
Thanjavur,Poly,5,674.7941754,21.86957223,7.09667759,1.477498328,-30895.92174,-31114.08985
Theni,Poly,2,0.005180334,0.07052416,0.043201977,0.025982713,0.735269756,0.732760163
Theni,Poly,3,0.006287381,0.07803025,0.048660512,0.029445528,0.673004443,0.669712996
Theni,Poly,4,0.047702487,0.207232206,0.103617256,0.052089014,-1.617856416,-1.646824112
Theni,Poly,5,3225.539398,46.63836934,12.32110183,1.839878984,-179917.4119,-182334.5741
The Nilgiris,Poly,2,0.002471066,0.048427698,0.02509508,0.011474662,0.851375949,0.849652795
The Nilgiris,Poly,3,0.004356477,0.056708211,0.031677267,0.01603612,0.725686718,0.723259908
The Nilgiris,Poly,4,0.026660334,0.155663317,0.070652854,0.029691273,-0.738872344,-0.751546473
The Nilgiris,Poly,5,609.6900753,19.96998463,5.259792314,0.773028078,-37463.51683,-37767.72771
Thiruvallur,Poly,2,0.003509548,0.058706345,0.038671771,0.024352428,0.869089316,0.86810076
Thiruvallur,Poly,3,0.003932039,0.062146204,0.040602262,0.024945983,0.853657572,0.852565185
Thiruvallur,Poly,4,0.014595897,0.117316526,0.06994909,0.040984236,0.451598344,0.446792113
Thiruvallur,Poly,5,122.4407771,10.25478696,3.903296156,0.934681923,-4683.957718,-4725.680647
